Address,NFT Count,YAY Reward
0x887D0F19fb66CE8316873fea693115f892BE724C,3,3
0xAbf27A13039fEF8A1a410866875FB8192951F81f,3,3
0x7b911d4306aAb192b4d380837B0F1A4680F858B1,3,3
0xC1083EA694C1E7bb375F40b0C2924B584c2518f5,3,3
0xCbB161F3fdd81eF49Ce0A182dFA3B66E556B0438,3,3
0xF498228d1EeF380C079bf2090314b338cED46700,3,3
0x92b39E4C14A00A3Fb4F0a347237b35236684b458,3,3
0x3D6d956963bd1D0B90064623662dc166D2C4f80E,3,3
0xe50B73711cA2a0d1E006eC40F41640e3403250b3,3,3
0xa9f26211fa03dA13F9CFD6485b57BAAFCA9E9B64,3,3
0x6Df18D128Ae852D34201891C03E943A3e4A2A552,3,3
0x8b17E329f3319Ed862c89cE702953AABB1FD7BE2,3,3
0x58ae63cf3bc8c1EcE11b4313337006Bd43AB3215,3,3
0x741e9a0eec918D60C2D208b0b2cb579b239A6b4f,3,3
0x00B27508B341E7080231E043Ab75E2CACA6cF7A9,3,3
0x8abbfd6f51a47A1E6fC7A0056Ff058635C2B4FCE,3,3
0xD8c233b8aF7e608Fac6A05562F61D644DC81b4C6,3,3
0x70d57Ff5d715BeB55cBe1E31C7CE05B57A0D46dF,3,3
0x4206957609f2936D166aF8E5d0870a11496302AD,3,3
0xe5b572E5C9A74615cc470A7B78523884fd2005B0,3,3
0xb731e9b9E7441336D12A50FaA5435646b771A248,3,3
0x43da8707292fA4F3cD5732002b93cAdcaaCB21Dd,2,2
0x359416D053923c9370Ab8505afF120Bb957C95DB,2,2
0x7A04ED81f52dbbBCb68e991727aE9dA18b304f80,2,2
0xb6d3928BBf35339416eB4220Bd3657b2Fd74Eb63,2,2
0x032FfB4F6B2C8De7e48d0dE4941B75576b508B0B,2,2
0xeED2FCe4205704FE01F450B9A841E5DB9351054D,2,2
0xe149024370b4aAB25E9E5ecb655b602a283C585f,2,2
0xe64457D315Ae942259fc62e51F3768fb3AB3Ad75,2,2
0x07C3e3bd7d1C10d356E8C13F45554c2f9e366Dd1,2,2
0xE07aD27CACb69783669206C78112BAe17bC42b5a,2,2
0x8047D2a426b0343069d600550775cdcFbe0731cE,2,2
0x4BBa504587d11f490C56ea02E53f77eE7AF50783,2,2
0xB6b1968dCE86B185625CE23c620dC2CA983aea04,2,2
0xb0396C7b1102a978a87A863Fbca7FD095b933D58,2,2
0xE02599474556684E9Cb7aaCe23af278E20ed24d6,2,2
0x5829ECBCdDf0fa6A9ed23fD3921E1b39E1Fa1f2f,2,2
0xcF16aFC07951ea661E71a57cFf6348D0D747fA2A,2,2
0x83c5a0de369b45475d9fCC9fE1E858Ded76b8Ad2,2,2
0x09bf972d2F0FcE8caF639930F852C70439DE72c6,2,2
0xB95A3Bf65c10A7ee64AF73b028c667240e4A9955,2,2
0xb2F9B85b8ad7E2ba37C076501B03B842c1409878,2,2
0xD235cCC3F9eee2ED41F97177549a5C573d92C30c,2,2
0x73e9D57dc73930B6dc8713bb0aFB5387EFfA8E32,2,2
0xDC3046B66B248F5461929e39cD0fD1e09Fe3726C,2,2
0x0D55E98CC0a865b134Af24E4f79d3974Af8D6a19,2,2
0x93c8c0C61b05A447a97F4A73c2cf1375CA2FB82B,2,2
0x319322dD20eCFCFf8743d977D1a5620b0D13c254,2,2
0x634b32004AE505E791180C229CEE85D753B75BE1,2,2
0xb6E523cFB6176339331C68d33eC7133aa5E5CFD8,2,2
0x7195AAC46D676E51F2044Bc5b77f4b612918EDb2,2,2
